name,purpose,category,website
Mental Health Support for Pre-Health Students,"The purpose of Mental Health Support for Pre-Health Students is to raise mental health awareness, to provide a support group for pre-health students who struggle with their mental health and necessitate assistance, and to establish an open space where students can freely express their emotions and feelings without any prejudice, discrimination, or judgment.",Health and Human Performance,N/A
MentorGNV,"MentorGNV is an organization dedicated to improving the lives of local elementary, middle, and high school students through a variety of mentoring opportunities. Mentoring is provided by students from the University of Florida, facilitating character development and the enrichment of interpersonal and leadership skills.",Community/Volunteer Service,N/A
Mexican-American Student Association,"The Mexican-American Student Association is established to provide a network and support system for any student interested in Mexican culture. MASA works to preserve and promote inclusivity, social awareness, and cultural celebration for all.",Cultural,N/A
Mexicans in Gainesville Student Association,"The main purpose of MIG is to involve new Mexican students in the community of the University of Florida, and together we share some Mexican culture on campus.",Cultural,N/A
"Minorities in Agriculture, Natural Resources, and the Related Sciences",Our purpose is to promote leadership and enhance professional development for underrepresented groups.,"Agricultural and Life Sciences, Professional/Career",N/A
Minority Health Professional Mentorship Program,"Minority Health Professional Mentorship Program (MHPMP) seeks to establish an organization that builds professional development while also establishing a mentorship program between minority undergraduate pre-health students and students enrolled in health professional schools. The goal of this program is to provide pre-health students at the university the opportunity to gain support and guidance, as well as to overcome the many obstacles associated with being an underrepresented person in the pre-health field. Additionally, healthcare professional students will learn to apply the lessons they learned as mentors in their fields as practitioners and increase the number of underrepresented peoples in healthcare. The purpose of MHPMP is to increase the number of successful underrepresented applicants to health professional schools by providing them with additional support in the form of peer-to-peer mentoring and professional development. The mentors will be students in health professional school and shall provide advice based on shared experiences and develop the undergraduate student as a leader. MHPMP will also conduct professional development sessions where students can learn professional skills (such as resume writing, interview tactics, and exam prep) outside of the classroom that will make them more competitive applicants to health professional schools.","Health and Human Performance, Professional/Career",N/A
Minority Pre-Legal Society,This organization is for unrepresented students at the University of Florida who are interested in the legal field.,"Law, Professional/Career",N/A
Minority Pre-Veterinary Students,"Minority Pre-Veterinary Students is an organization that strives to provide support and inform students of all ethnicities and background with knowledge and opportunities geared towards the goal of pursuing a career in veterinary medicine. We will provide exposure to various aspects of veterinary medicine, including but not limited to community service, hands-on experiences and networking opportunities while creating a safe and supportive space for all members.","Veterinary Medicine, Professional/Career",N/A
Mock Trial Team,"The UF Mock Trial Team, The LitiGators, is a competitive undergraduate organization that consists of about 50 members and 6 coaches. It works to field five, ten-person competitive teams that compete under the American Mock Trial Association (AMTA), going head-to-head against other universities from all across the United States. Members learn skills applicable to every person, no matter their career ambitions. Members ultimately develop critical thinking, public speaking skills, and the ability to form rational oral arguments on demand. Involvement on the team also entails learning legal procedure and courtroom etiquette.","Law, Professional/Career",N/A
Model United Nations,Model United Nations is a student organization dedicated to educating its members about international issues and fostering constructive debate on these issues by considering the concerns and needs of countries around the world. Our new member meeting will take place on September 16 at 7:00 p.m. in Room 3315 in the Reitz Union. Our general body meetings are every Wednesday at 7:00 p.m. in Room 3315 in the Reitz Union. Our meetings will be virtually streamed onto our Facebook group: UF Model United Nations.,"Professional/Career, Recreation, Special Interests",N/A
MTNA Collegiate Chapter,"The purpose of this chapter is to enhance student's studies by providing educational, musical, social, and professional experiences, to acquaint students enrolled in a music program (primarily performance majors) with professional opportunities, to develop leadership skills and community involvement, to provide support for University music students, local musicians and private teachers, to raise awareness among the student community about the importance of music and music education, and to create a unique music culture at University.","Fine Arts, Professional/Career",N/A
Multicultural Association of Pre-Health Students,"The Multicultural Association of Pre-Health Students is established for the purpose of assisting underrepresented students in the healthcare field in enrolling and successfully completing their studies in the various colleges of the health profession, serving the health needs of underrepresented communities, educating others about important health matters and ensuring cultural sensitivity to the needs of a diverse population.","Community/Volunteer Service, Professional/Career",N/A
MultiCultural Collective,"The Multicultural Collective is a student organization dedicated to enhancing the student experience of individuals of various cultural backgrounds at the University of Florida. We serve as a support system for students to be able to truly be themselves without having to suppress themselves to conform to the majority. Our members will encourage vulnerability by having conversations discussing their real experiences that generally would be too taboo to discuss in most settings, and understand others' perspectives through various programming that will stimulate open discourse. This initiative will create lasting relationships during a student's time at UF and through the rest of their lives while bringing light to the importance of being more vulnerable in our various life settings.",Special Interests,N/A
MULTICULTURAL GREEK COUNCIL,"The purpose and mission of the Multicultural Greek Council here at the University of Florida is to unify leaders through diversity. Our council was established in November 1999 and is comprised of 14 culturally based fraternities and sororities. Our council follows the principles of Community, Scholarship, Service, and Leadership. With these pillars, our council strives to serve the UF Community and the greater Gainesville area.",Cultural,N/A
MURPH Club,"Murph Club's primary purpose is to provide students with an outlet to exercise within a community, regardless of experience, and to create connections between the different colleges of the University of Florida. Murph Club will host club meetings every Saturday for members to engage with each other and campus.","Healthy Living, Community/Volunteer Service",N/A
Music for Health Ensemble,"The Music for Health Ensemble provides students and professionals in the field of health with an outlet to pursue musical interests on their respective instruments, serve their community through formalized performances for patients in a clinical setting, and participate with healthcare individuals in bridging the gap between music and medicine.",Fine Arts,N/A
Music Meets Medicine,"Welcome to Music Meets Medicine! This organization is built upon the principles of integrating the arts into holistic patient care, aiming to inspire and educate those who are passionate about the humanistic and healing benefits of music in healthcare. We aim to achieve this goal through artistically-oriented community service, providing a platform for professionals in the field, and conducting research-oriented discussions about the state of the arts in healthcare. This organization is open to all majors and career interests and no music experience is required to be involved! We hope to see you at our events!","Fine Arts, Medicine",N/A
Myndset,"Myndset is a like-minded group of growing professionals seeking to enhance their goal setting, professional development, and motivation through observing neurological and psychological processes that cause everyday decisions. We host a new series each month and engage in thought-provoking conversation surrounding these topics during meetings. Professional guest speakers in several fields of work (neurology, life coaching, etc..) are hosted at some of our meetings as we aim to learn about getting in the right headspace to achieve more professionally and personally. We contribute back to others through service around Gainesville and partner with other organizations in order to illuminate our mindsets.",Special Interests,N/A
Nanoscience and Nanotechnology Student Council,"The Nanoscience and Nanotechnology Student Council (NNSC) will engage students at The University of Florida who are either involved with research at the Nanoscale level, have an interest in pursuing a career in Nanoscience or Nanotechnology, or simply have a desire to broaden their knowledge within this area. Two large-scale activities the NNSC will be responsible for is 1) to organize the annual Nanoday which takes place every fall and 2) to organize the NanoFlorida event for the year which The University of Florida is selected to be the host. The NNSC will also hold regular General Body Meetings every month to discuss organizational matters and prepare for upcoming events. Additionally, the NNSC will hold topic-based meetings such as educational lectures and diversity-focused professional development series will be offered. Several of these topic-based meetings will be centered around career readiness, reviewing the specific skills that a future graduate should obtain to enter industry and academia. Finally, the NNSC will create mentor-mentee opportunities, and providing fun activities for the younger Gainesville audience to grow a passion for nanoscience, nanotechnology, and in general, STEM.",Engineering,N/A
National Alliance on Mental Illness: A Helping Hand,NAMI is the largest grassroots mental health organization in America. This organization bridges the gap between mental health resources provided by the Gainesville community and services that are offered at the University of Florida. We provide a community for those wishing to improve the mental health of themselves and others.,Other,N/A
National Association for Music Education,"The purpose of National Association for Music Education is to educate and support future music teachers and programs by utilizing guest speakers, performing community service projects, and attending conferences in order to foster awareness and promote music education in and out of the classroom.","Fine Arts, Professional/Career",N/A
National Association of Hispanic Journalists,"The National Association of Hispanic Journalists is dedicated to the recognition and professional advancement of Hispanics in the news industry. NAHJ's mission is to organize and provide support for Hispanic Journalists, encourage and support the study and practices of journalism and communications by Hispanics, promote accurate and fair treatment of Hispanics by the news media, further employment opportunities and career development for Hispanics in the news media, and foster greater understanding of the unique cultural identity, interests and concerns of Hispanic Journalists.",Media/Publication,N/A
National Association of Women in Construction,We are an organization that promotes and supports the advancement and employment of women in the construction industry,"Design/Construction/Planning, Professional/Career",N/A
National Community Pharmacists Association,"The National Community Pharmacists Association is an educational, non-profit, organization with the following goals: (1)   To promote pharmacy as a profession and the role of independent retail pharmacy in the American health care system; (2)   To maintain and expand educational programs, to strengthen members' professional and business ability, and to encourage colleges of pharmacy to provide for students to learn about opportunities in modern retail pharmacy practice; (3)   To provide effective support and sponsorship of programs to encourage careers in retail pharmacy; (4)   To exchange information among health professions to promote mutual understanding in areas affecting the practice and education of these health professions; (5)   To educate the lay public on the proper use of both prescription and nonprescription drugs and on the pharmacist's role in safe and effective drug counseling, therapy, and administration","Pharmacy, Professional/Career",N/A
National Lawyers Guild,"The primary purpose of this organization is to bring together members of the legal community at UF who recognize the importance of safeguarding and extending the rights of workers, women, farmers, and minority groups upon who the welfare of the entire nation depends; who seek actively to eliminate racism; who work to maintain and protect our civil rights and liberties in the face of persistent attacks upon them; and who look upon the law as an instrument for the protection of the people, rather than for their repression. Chapter members seek: a) To aid in making the United States and State Constitutions and laws and the administrative and judicial agencies of the government responsive to the will of the American people; b) To protect and foster our democratic institutions and civil rights and liberties of all people; c) To aid in the establishment of governmental and professional agencies to supply adequate legal services to all who are in need and cannot obtain it; d) To promote justice in the administration of the law; e) To aid in the adoption of laws for the economic and social welfare of the people; f) To keep the people informed upon legal matters affecting the public interest; g) To encourage, in the study of law, a consideration of the social and economic aspects of the law; h) To improve the ethical standards which must guide the lawyers in the performance of his or her professional and social duties; and i) To promote world unity through collaboration among the Bars of members of the United Nations. These goals shall be achieved through: meetings, discussions, public education events, use of the press, and various support of organizations working on issues of social and economic justice.",Law,N/A
National Lesbian & Gay Journalists Association,"The purpose and mission of NLGJAs student chapter is to provide a network for LGBTQ student journalists and their allies, both on campus and in the greater Gainesville community. Our goals include: Providing mentoring and leadership to future journalists; Strengthening the identity, respect and status of LGBTQ journalists in the newsroom and throughout the practice of journalism; Working for the highest journalistic and ethical standards in all media coverage; Collaborating with other professional journalist associations and promoting the principles of inclusion and diversity within our ranks; Enhancing the professionalism, skills and career opportunities for LGBTQ students; and Promoting the highest standards and ethical behavior among all journalists.",Journalism and Communications,N/A
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,"The purpose of NOBCChE is to build an organization of diverse leaders in STEM by promoting research and applications of chemistry in industry as well as providing media for the exchange of information and ideas between chemists, chemical engineers, and associated personnel. NOBCChE aims to influence the community by mentoring and fostering an environment for networking opportunities that will expand the students' perspectives on chemistry and other science related fields.","Engineering, Special Interests",N/A
National Organization for Women,"NOW is a feminist student organization committed to fighting against gender discrimination, racial discrimination, sexual violence, sex trafficking, and sexist societal perceptions and institutions. Its primary goal is to create a change in the community through group discussions, consciousness raising, and actions that heighten awareness in the community.","Political Interests, Special Interests",N/A
National Organization of Minority Architecture Students,"The National Organization of Minority Architecture Students (NOMAS) seeks to represent the voice of design students who come from various social and ethnic groups - empowering these students to become the face of change. We serve to inspire, challenge, and educate all architecture students and faculty to create a more cultured studio experience within the UF School of Architecture.",Professional/Career,N/A
NATIONAL PAN-HELLENIC COUNCIL,"The National Pan-Hellenic Council was created in efforts to promote ""Unanimity of thought and action as far as possible in the conduct of Greek letter fraternities and sororities, and to consider problems of mutual interest to its member organizations."" The purpose of this council is to uphold an atmosphere of mutual respect and cooperative action for its members and the University of Florida in dealing with matters of mutual concern as well as focus on the minority community.",National Pan-Hellenic Council,N/A
National Residence Hall Honorary,"NRHH is a leadership-based honorary comprised of exemplary residential students who value recognition and service. The purpose of this organization shall be to recognize those individuals who have demonstrated positive leadership and outstanding service to residence hall life at the University of Florida, to serve as a stimulus for developing residence hall involvement, and to uphold the values of Service, and Recognition. Through these stated purposes, the NRHH strives to improve the quality of residence hall life on the University of Florida campus. This organization is a not for profit organization.",Other,N/A
National Society of Black Engineers,"To increase the number of culturally responsible Black engineers who excel academically, succeed professionally and positively impact the community.","Engineering, Professional/Career",N/A
National Society of Collegiate Scholars,"We are not your average honors organization. We recognize academic achievement and provide opportunities for members to develop leadership skills. Members positively change their campuses and communities by participating in service activities as they prepare for future endeavors like internships, graduate school, and careers. Along the way, members often make valuable connections with fellow high-achieving students.",Honor Society,N/A
National Society of Leadership and Success,"This UF chapter is apart of the nation's largest leadership honor society, where top students, selected by their colleges based on either academic standing or leadership potential, come together to identify and achieve their goals. NSLS allows you to learn more about your leadership style and increases your leadership development. You will be able to apply what you have learned from the NSLS into aspects of your collegiate life, as well as beyond graduation. You will also be able to connect with your peers and become more involved on your campus.",Honor Society,N/A
National Student Speech Language and Hearing Association,"The National Student Speech, Language and Hearing Association is a pre-professional membership association for students interested in the study of communicative disorders. NSSLHA is dedicated to encouraging professional interest among college and university students in the study of normal and disordered human communication.","Public Health and Health Professions, Professional/Career",N/A
Natural Resource Diversity Initiative,"The Natural Resources Diversity Initiative (NRDI) is a student run, faculty supported organization at the University of Florida. NRDI works to introduce a diverse group of students from all disciplines to the field of natural resources and the opportunities available to them within it. We are interested in improving the presence of underrepresented groups in science and a wide range of natural resources.","Agricultural and Life Sciences, Cummunity/Volunteer Service, Professional/Career",N/A
Navy-Marine Student Association,The Navy-Marine Student Association was created to enhance the knowledge of students about Navy and Marine Corps customs and traditions. NMSA values leadership and instilling leadership qualities.,"Military, Recreation",N/A
Nepalese Student Association,"The purpose of Nepalese Student Association is to introduce Nepal and Nepali culture and foster at the University of Florida to contribute to the global awareness of campus community while providing the haven for Nepalese students as they intermingle with the host culture as well as the international community present in Florida. The association brings the Nepali people together and help build a strong cultural foundation for the students seeking to realize their academic goals. Besides, it will also assist current students socialize and prospective Nepalese students by providing information about the UF. The above stated purposes will be achieved by organizing events related to Nepalese culture; a forum for Nepalese student and community to interact. This organization also aims at presenting different aspects of the Nepali culture and life style to the UF students from different parts of the world. This will be achieved by organizing various cultural events and shows. This organization is not funded or sponsored by any academic department nor is it affiliated to any other social, national or local organization. Any interested Nepalese student or any other student interested in Nepal at the University of Florida will be accepted by the association as active members.",Culture,N/A
Network of Enlightened Women at Florida,"The Network of enlightened Women (NeW) is dedicated to fostering the education and leadership of culturally conservative university women. NeW is devoted to promoting conservative principles and intellectual diversity through education opportunities, training women to become leaders, and creating a community of conservative women.",Special Interests,N/A
North Florida Research and Education Center Students Association,"North Florida Research and Education Center Student Association (NFREC-SA) is a not-for-profit organization established for the purpose of promoting professional, personal and academic development among students and faculty. Numerous domestic and international students conduct research at NFREC, although they seldom interact due to the spatial separation of labs and facilities on the NFREC campus. The goal of NFREC-SA is to create a formal platform for interactions among students, as well as faculty members, therefore fostering wholesome networking and friendship among incoming and existing students. This association will embrace the cultural values and academic backgrounds of all students and give students a unified voice. This organization will also promote activities that will improve mental well-being for students and establish a welcoming and familiar environment for learning. Orientation and seminars will be carried out each semester for new students to get acquainted with NFREC and University of Florida's culture and meet with local farmers, thereby enhancing extension activities. In addition, students will have the opportunity to acquire and develop leadership skills. Finally, through expositions, workshops, seminars, and student research competitions, NFREC-SA will create awareness of the research activities carried out at NFREC and promote the positive image of the center. We would like to better engage with the general public, extension agents, local communities, students and faculty on campus and other research centers.",Special Interests,N/A
Nuclear Music,Nuclear Music is an organization dedicated to the research and performance of post-1945 art music.,Fine Arts,N/A
Nurses Leading Change,"To create transparency between administration and the student body, advocate for inclusivity in the nursing curriculum, promote diversity in the student body and administration, and educate students about social health disparities as they pertain to race, ethnicity, gender identity, sexuality and more.",Nursing,N/A
Nursing College Council,"The Nursing College Council (NCC) consists of the entire undergraduate student body at the College of Nursing, including Traditional BSN and Accelerated BSN students. The officers act as elected representatives of the students and we provide a voice to faculty, alumni, and other colleges at the University of Florida. NCC's purposes include orientation and mentoring of incoming students, fostering communication between students and faculty, membership on College committees, professional development and enhancement of student life through extra curricular social and service activities.","Nursing, Professional/Career",N/A
Off Campus Ambassadors,"The purpose of the Off Campus Ambassadors is to create a connection between University of Florida students, both on campus and in the Gainesville community while educating them on municipal, cultural, social, and safety issues in a concise and centralized way.",Ambassador,N/A
Olami Jbiz,"Olami JBiz is a community of undergraduate students typically pursuing a career in business, offering mentorship, internships, and career development opportunities rooted in Jewish values. Olami JBiz aims to help every student learn and grow professionally, personally, and spiritually throughout their time on campus and beyond.","Business, Religious/Spiritual",N/A
Olympic Style Taekwondo,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs,Sport Clubs,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
Omega Phi Alpha National Service Sorority,"The purpose and goals of this sorority shall be to assemble its members in the fellowship of Omega Phi Alpha, to develop friendship, leadership, and cooperation by promoting service to the university community, to the community at large, to the members of the sorority and to the nations of the world.","Community/Volunteer Service, Special Interests",N/A
OMEGA PSI PHI,"To promote friendship while building a strong and effective force of men dedicated to our Cardinal Principles of Manhood, Scholarship, Perseverance, and Uplift.",National Pan-Hellenic Council,N/A
One Health Student Association,"One Health Student Association's purpose is to educate the community about one health by promoting and highlighting the need for interdisciplinarity and recognizing the interconnections between humans, animals, and the environment. Please view our constitution for more details.",Community/Volunteer Service,N/A
One Love,"One Love's purpose is to raise awareness about the warning signs of relationship abuse and activate the University of Florida community to change the statistics around relationship violence by becoming a point of reference for information on related issues. The goal of this organization is to provide prevention education to all students and to start conversations pertaining to healthy relationships through hosting educational workshops, social media campaigns, and tabling on campus.",Community/Volunteer Service,N/A
Orange & Blue Archery,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs,Sport Clubs,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
Orange and Blue PIpe Band,"The O&B Pipe Band is intended to connect all students interested in pioneering a Highland Pipe Band at the University of Florida. Absolutely no experience or knowledge required! We will provide lessons for those interested in learning and performing the Scottish bagpipes and begin to organize local performances. Our purpose, is to establish a musical ensemble that will enrich the campus community and make bagpipes more accessible to students. Furthermore, students interested in earning and honing their fundraising skills would be provided with a worthwhile challenge should they join this club.",Fine Arts,N/A
Order of Omega,"To RECOGNIZE those fraternity men and women who have attained a high standard of leadership in inter-fraternity activities, to ENCOURAGE them to continue along this line, and to INSPIRE others to strive for similar conspicuous attainment; To UNITE outstanding fraternity men and women to create an organization which will help to mold the sentiment of the institution on questions of local and intercollegiate fraternity affairs; To BRING TOGETHER members of the faculty, alumni, and student members of the institution's fraternities and sororities on a basis of mutual interest, understanding and helpfulness; To help CREATE an atmosphere where ideas and issues can be discussed openly across Greek lines and to help work out solutions.",Other,N/A
Organic and Sustainable Agriculture Club,The Organic and Sustainable Agriculture Club (OSAC) is dedicated to spreading the knowledge and practices of organic and sustainable farming. This includes plant agriculture as well as animal agriculture. We intend to bridge the gap between farmer and consumer by educating the community on agricultural practices that will promote sustainability.,"Agricultural and Life Sciences, Professional/Career",N/A
OrganizaciĂłn de Estudiantes Graduados de EspaĂ±ol,Our primary mission is to promote the language and cultures of Spain and Latin America throughout our community and to represent the graduate students of the Department of Spanish and Portuguese.,Cultural,N/A
Organization for Graduate Student Advancement and Professional Development,"The Organization for Graduate Student Advancement and Professional development (OGAP) seeks active members in its pursuit to enhance graduate student professional development at the University of Florida. OGAP membership provides excellent opportunities to increase your professional development, networking opportunities both within the UF community and the greater Gainesville community, and leadership opportunities. Being an OGAP member will also allow you to get involved in collaborative projects with departments outside your field. Our flagship events are Graduate Student Research Day held in the Spring, and the 3-Minute Thesis™ competition held in the Fall. These events are open to all the graduate students at the University of Florida. We also welcome new ideas of what graduate students would like to see in these events. As an OGAP member, you will be closely involved with the graduate school to make significant changes in our university.",Professional/Career,N/A
Orthodox Christian Campus Ministries,OCCM will serve as a platform for us to serve within the Gainesville community and grow spiritually and socially together on and off campus.,"Community/Volunteer Service, Social and Global Change",N/A
Orthodox Christian Fellowship,"We are a service of and for college students in Gainesville to worship God and learn more about our faith, as well as meet for fun and fellowship. Our members are Orthodox Christians from a variety of backgrounds, as well as those interested in Orthodox Christianity. We are part of the national Orthodox Christian Fellowship, under the oversight of the Standing Conference of the Canonical Orthodox Bishops in the Americas. We welcome any student of Santa Fe Community College or the University of Florida, or anybody else who's interested!",Religious/Spiritual,N/A
Orthopedic and Athletic Medicine,"OAM at UF will serve as an organization that focuses on medicine related to the athletic world and orthopedic specialty. OAM at UF will be an open-organization composed of undergraduate students interested in a healthcare field related to sports medicine. In order to combat elitism in medicine and provide ample opportunity for students interested in a variety of medical pathways to work together, OAM at UF invites all students interested in sports medicine and orthopedics...",Medicine,N/A
Our Art Collective,"Our purpose is to explore different forms of art-making and to support local non-profit and charity causes through fundraising. This is a group for anyone who has a love for creating, whatever medium it may be.",Fine Arts,N/A
"Out in Science, Technology, Engineering, and Mathematics","As an organization dedicated to community, our work starts with our mission. It serves as a touchstone and reminds us of our common goals: To educate, empower, and engage a diverse community, To identify, address, and advocate for the needs of LGBTQA students in the STEM fields, And we fulfill these needs through mentorship connections, networking opportunities, strategic collaborations, and professional/leadership development.","Engineering, Professional/Career, Special Interests",N/A
Out of Stater Gator,"The purpose of Out of Stater Gator is to connect out-of-state students at the University of Florida by offering opportunities for mentorship, networking, and social events. The mentorship program within Out of Stater Gator will enable incoming or transfer (out-of-state) students to be paired with experienced (out-of-state) students who will aid in the transitional process. As out-of-state students comprise a large minority of the student body, the organization will strive to promote a sense of comfort, familiarity, and relief to these students.",Special Interests,N/A
Outdoor Adventure Recreation,"The primary purpose of Outdoor Adventure Recreation (OAR) is to provide faculty, students, and staff of the University of Florida with opportunities to participate in and gain knowledge of the land and water-based outdoor activities. These goals shall be achieved through numerous outdoor trips coordinated by members of this organization with leadership opportunities for all members. This organization shall be not for profit or non-commercial in nature.","Recreation, Special Interests",N/A
OUTdoors,"Our constitution states that the purpose of the OUTdoors is to facilitate a judgment-free social space for LGBTQ+ students to engage in outdoor activities. This club fosters personal health through exercise and community development. This allows members to gain confidence, meet new people, and retreat from academic stresses by exploring Gainesville's natural attractions.",Healthy Living,N/A
OutLaw - Law LGBT Organization,"The purpose of OutLaw shall be to utilize the collective resources of the members to: • Articulate and promote the professionals needs and goals of LGBT law students; • Foster and encourage professional competence; • Foster relationships between LGBT law students with LGBT attorneys; • Instill in the LGBT law students a greater awareness and commitment to the needs of the LGBT community; • Influence the legal community to bring about meaningful change to meet the needs of the LGBT community; • Adopt and implement a policy of economic independence, encourage LGBT law students to pursue careers in the judiciary and public service, and do all things necessary and appropriate to accomplish these purposes.","Law, Professional/Career, Special Interests",N/A
PA Surgery Club,"The primary purpose of this organization is to educate University students about surgical physician assistants, and provide both an academic and volunteer opportunity for members. This will be accomplished through a monthly journal club, monthly presentations on surgical and/or medicine topics, preparation for clinical rotations, educational, suture and procedural workshops, academic speakers, and presentations offered by physician assistants, faculty members, and current physician assistant students. In addition, members will volunteer at health-related events in order to accomplish a common club goal of service to our community.","Medicine, Professional/Career",N/A
PaCE Student Organization,The purpose of PaCESO is to serve and represent the PaCE community at the University of Florida. This will be done by fostering mentorship amongst students that have not transitioned to on-campus learning.,"Recreation, Special Interests",N/A
Packaging Club,"The purpose of the Packaging Club is to provide students interested in packaging a place to meet one another, explore opportunities in industry by hosting external speakers and recruiters, communicate job openings, and attend conferences and competitions such as Pack Expo.",Special Interests,N/A
Pair-a-Dice Gaming,"Come on down and play some games! From structured classic board games to indie TTRPGs to good ole' DND, Pair-a-Dice seeks to provide a fun, low-pressure environment for students to explore and enjoy the world of tabletop gaming. Bring a friend. Make some new ones. Have a great time! Obligatory keyword list: d&d, dnd, dungeons and dragons, RPG, RPGs, RPG's, roleplaying games, roleplaying game, board games, board game, tabletop, card games, card game, party games, party game, mafia, werewolf, twilight imperium, root","Recreation, Special Interests",N/A
Pakistani Students' Association,"The aim of the Pakistani Students' Association is to celebrate and promote the colorful and rich culture of Pakistan through social, service-oriented, and educational events. We also want to create a community for Pakistani-American students while celebrating and appreciating our heritage.",Cultural,N/A
Panhellenic Council,"The Panhellenic Council serves as the governing body for 18 National Panhellenic Conference chapters on campus, creating a sisterhood of more than 4,000 women. Through educational, service, and social activities, the Panhellenic Council strives to develop its members and the University of Florida student body. Our vision is to promote women in our four pillars of leadership, community, scholarship, and service through relationships within and beyond the Panhellenic community. Each chapter has approximately 250 members. Each chapter hosts a philanthropic event each year that benefits their national service organization. The Panhellenic Council and Panhellenic Executive Board oversees each chapter and the council as a whole.",Social and Global Change,N/A
Partners In Health Engage,"The purpose of Partners In Health Engage is to build the right to health movement. This movement is dedicated to the idea that all individuals have a fundamental economic, social, and cultural right to a universal standard of health. We build the power to advance the right to health by educating our community on global health issues, fundraising for high quality of healthcare for people living in poverty, and advocating for global and domestic health policies.",Health Living,N/A
Pathology Club,"A club dedicated to teaching students about pathology through wet labs, field trips, and guest speakers.","Medicine, Professional/Career",N/A
Pazeni Sauti Africa Choir,"Pazeni Sauti Africa Choir was established in order to spread awareness and appreciation of African culture through song. The choir performs traditional folk songs from eastern, western, and southern Africa in order to immerse its members and the audience into authentic African culture.","Fine Arts, Recreation",N/A
PediaGator,"PediaGator is dedicated to advocating pediatric awareness in the Pharmacy profession at the Gainesville Campus of the UF College of Pharmacy. If you're interested in pediatric pharmacy or would just like to hear from our speakers, feel free to join us at our next meeting!","Medicine, Professional/Career",N/A
PediaGator Jacksonville,PediaGator is dedicated to advocating pediatric awareness in the Pharmacy profession at the Jacksonville Campus of the College of Pharmacy.,"Pharmacy, Professional/Career",N/A
PediaGator Orlando,The purpose of PediaGator is to unite healthcare professional students in a joint effort to improve the well-being of children within our community while emphasizing the nature of pediatrics as a specialty.,"Community/Volunteer Service, Public Health and Health Professions",N/A
Pediatrics Interest Group,"The mission of Pediatric Interest Group (PedsIG) is to educate medical students about the science and art of pediatric medicine. This group will offer a place for students interested in pediatric medicine to learn more about what it means to be a pediatrician or pediatric specialist and what issues are present in the field. PedsIG will also allow students to foster relationships with like-minded peers, faculty members, and community physicians.","Medicine, Professional/Career",N/A
People for Animal Wellness,"People for Animal Wellness (PAW) was founded Spring 2010 and is open to ALL MAJORS! We are dedicated to volunteering at local animal organizations which include both domestic and exotic animal organizations. We hold a volunteer event almost every weekend, with the option of members to volunteer individually! We also hold biweekly meetings where we hear from very interesting speakers, typically from local animal organizations, and plan exciting field trips that will provide our members with a new outlook about the animals that they will encounter. Join our Facebook page to stay up to date with our upcoming events and members are allowed to join the club at any point in the Fall or Spring semester!","Community/Volunteer Service, Special Interests",N/A
People4Tomorrow,"People4Tomorrow primary purpose is to provide students with medical philanthropic experience through understanding global health disparities as well as the process for evaluating, assessing, and executing the state of health disparities within a variety of communities. University of Florida.People4Tomorrow will host GBM's, workshops, and networking opportunities.","Community/Volunteer Service, Social and Global Change",N/A
Period Movement,"Our chapter focuses on expanding the impact of our three pillars: advocacy, youth leadership, and service. While continuing to foster an open global conversation on the importance of menstrual hygiene, breaking the stigma around periods, and hosting fundraisers throughout the year to support the distribution of feminine hygiene products to women and girls in need.",Other,N/A
Personal Finance Club,"The mission of the club is to spread financial literacy among students and prepare them for their adult lives. There are multiple finance or investment clubs at UF, but our focus is on other topics such as budgeting, insurance, and income tax forms. We will also connect students with professionals with experience in the field of personal finance, such as financial advisory firms. All of these goals will be accomplished by having General Body Meetings every two weeks where club e-board members and content developers will present about the mentioned topics and social events for team building and networking. Also, we will have UF staff guest speakers such as our advisor, Steve Tufts, and Brandon Peterson, a professor at UF with a very strong background in personal finance.",Special Interests,N/A
Peruvian American Student Society,The purpose of PASS is to educate the UF community about Peruvian Culture.,Cultural,N/A
Phi Alpha Delta Pre-Law,"The purpose of this Chapter is to provide an effective, cohesive forum to promote the principles, ideals, and precepts of Phi Alpha Delta Law Fraternity, International and its Pre-Law Program. It shall promote the principles for the professional advancement of its members; stress the principles of liberty and equal justice under law for all citizens; stimulate excellence in scholarship; provide a forum for the interchange between members of this Chapter and the other members of Phi Alpha Delta Law Fraternity, International; and develop an understanding of professional fraternalism among its members.","Law, Professional/Career, Special Interests",N/A
PHI BETA SIGMA,"Culture For Service, Service for Humanity",National Pan-Hellenic Council,N/A
Phi Delta Chi- Delta Delta Chapter,"To provide a lifelong home for pharmacy professionals inspiring Brotherhood, Leadership, Service, and Scholarship.",Pharmacy,N/A
PHI DELTA THETA,"Phi Delta Theta was built on three pillars that haven't budged an inch since the Fraternity was founded by śThe Immortal Sixť way back in 1848 at Miami University. The pillars are: The cultivation of friendship among its members, the acquirement individually of a high degree of mental culture, and the attainment personally of a high standard of morality. Shortened, we refer to the principles as friendship, sound learning and rectitude.",Interfraternity Council,N/A
